S,I,R
2.228000000000000000e+04,2.200000000000000000e+02,0.000000000000000000e+00
2.162200000000000000e+04,8.330000000000000000e+02,4.500000000000000000e+01
2.055300000000000000e+04,1.748000000000000000e+03,1.990000000000000000e+02
1.901900000000000000e+04,2.959000000000000000e+03,5.220000000000000000e+02
1.713600000000000000e+04,4.329000000000000000e+03,1.035000000000000000e+03
1.506700000000000000e+04,5.769000000000000000e+03,1.664000000000000000e+03
1.303200000000000000e+04,7.039000000000000000e+03,2.429000000000000000e+03
1.109600000000000000e+04,8.070000000000000000e+03,3.334000000000000000e+03
9.352000000000000000e+03,8.884000000000000000e+03,4.264000000000000000e+03
7.868000000000000000e+03,9.473000000000000000e+03,5.159000000000000000e+03
6.628000000000000000e+03,9.890000000000000000e+03,5.982000000000000000e+03
5.712000000000000000e+03,1.004200000000000000e+04,6.746000000000000000e+03
5.091000000000000000e+03,9.941000000000000000e+03,7.468000000000000000e+03
4.746000000000000000e+03,9.792000000000000000e+03,7.962000000000000000e+03
4.553000000000000000e+03,9.597000000000000000e+03,8.350000000000000000e+03
4.464000000000000000e+03,9.425000000000000000e+03,8.611000000000000000e+03
4.505000000000000000e+03,9.264000000000000000e+03,8.731000000000000000e+03
4.531000000000000000e+03,9.130000000000000000e+03,8.839000000000000000e+03
4.533000000000000000e+03,9.085000000000000000e+03,8.882000000000000000e+03
4.492000000000000000e+03,8.956000000000000000e+03,9.052000000000000000e+03
4.726000000000000000e+03,8.912000000000000000e+03,8.862000000000000000e+03
4.645000000000000000e+03,8.984000000000000000e+03,8.871000000000000000e+03
4.588000000000000000e+03,9.027000000000000000e+03,8.885000000000000000e+03
4.525000000000000000e+03,9.091000000000000000e+03,8.884000000000000000e+03
4.487000000000000000e+03,9.007000000000000000e+03,9.006000000000000000e+03
4.577000000000000000e+03,8.922000000000000000e+03,9.001000000000000000e+03
4.590000000000000000e+03,8.925000000000000000e+03,8.985000000000000000e+03
4.623000000000000000e+03,8.962000000000000000e+03,8.915000000000000000e+03
4.606000000000000000e+03,8.943000000000000000e+03,8.951000000000000000e+03
4.618000000000000000e+03,8.957000000000000000e+03,8.925000000000000000e+03
4.698000000000000000e+03,8.872000000000000000e+03,8.930000000000000000e+03
4.590000000000000000e+03,8.952000000000000000e+03,8.958000000000000000e+03
4.630000000000000000e+03,8.941000000000000000e+03,8.929000000000000000e+03
4.590000000000000000e+03,8.943000000000000000e+03,8.967000000000000000e+03
4.629000000000000000e+03,9.026000000000000000e+03,8.845000000000000000e+03
4.567000000000000000e+03,9.014000000000000000e+03,8.919000000000000000e+03
4.551000000000000000e+03,9.007000000000000000e+03,8.942000000000000000e+03
4.553000000000000000e+03,9.018000000000000000e+03,8.929000000000000000e+03
4.617000000000000000e+03,8.915000000000000000e+03,8.968000000000000000e+03
4.492000000000000000e+03,8.946000000000000000e+03,9.062000000000000000e+03
4.585000000000000000e+03,8.837000000000000000e+03,9.078000000000000000e+03
4.664000000000000000e+03,8.887000000000000000e+03,8.949000000000000000e+03
4.664000000000000000e+03,8.952000000000000000e+03,8.884000000000000000e+03
4.600000000000000000e+03,9.067000000000000000e+03,8.833000000000000000e+03
4.614000000000000000e+03,9.019000000000000000e+03,8.867000000000000000e+03
4.711000000000000000e+03,8.961000000000000000e+03,8.828000000000000000e+03
4.658000000000000000e+03,9.028000000000000000e+03,8.814000000000000000e+03
4.553000000000000000e+03,9.065000000000000000e+03,8.882000000000000000e+03
4.563000000000000000e+03,9.084000000000000000e+03,8.853000000000000000e+03
4.602000000000000000e+03,9.031000000000000000e+03,8.867000000000000000e+03
4.599000000000000000e+03,9.103000000000000000e+03,8.798000000000000000e+03
4.527000000000000000e+03,9.089000000000000000e+03,8.884000000000000000e+03
4.559000000000000000e+03,9.033000000000000000e+03,8.908000000000000000e+03
4.585000000000000000e+03,9.001000000000000000e+03,8.914000000000000000e+03
4.557000000000000000e+03,8.973000000000000000e+03,8.970000000000000000e+03
