S,I,R
2.226300000000000000e+04,2.370000000000000000e+02,0.000000000000000000e+00
2.137900000000000000e+04,1.083000000000000000e+03,3.800000000000000000e+01
1.977900000000000000e+04,2.478000000000000000e+03,2.430000000000000000e+02
1.756800000000000000e+04,4.179000000000000000e+03,7.530000000000000000e+02
1.487100000000000000e+04,6.081000000000000000e+03,1.548000000000000000e+03
1.199900000000000000e+04,7.820000000000000000e+03,2.681000000000000000e+03
9.232000000000000000e+03,9.157000000000000000e+03,4.111000000000000000e+03
6.781000000000000000e+03,9.985000000000000000e+03,5.734000000000000000e+03
4.849000000000000000e+03,1.018800000000000000e+04,7.463000000000000000e+03
3.415000000000000000e+03,1.002100000000000000e+04,9.064000000000000000e+03
2.472000000000000000e+03,9.431000000000000000e+03,1.059700000000000000e+04
1.939000000000000000e+03,8.535000000000000000e+03,1.202600000000000000e+04
1.717000000000000000e+03,7.638000000000000000e+03,1.314500000000000000e+04
1.620000000000000000e+03,6.905000000000000000e+03,1.397500000000000000e+04
1.642000000000000000e+03,6.211000000000000000e+03,1.464700000000000000e+04
1.691000000000000000e+03,5.692000000000000000e+03,1.511700000000000000e+04
1.771000000000000000e+03,5.225000000000000000e+03,1.550400000000000000e+04
1.839000000000000000e+03,4.835000000000000000e+03,1.582600000000000000e+04
1.961000000000000000e+03,4.589000000000000000e+03,1.595000000000000000e+04
2.046000000000000000e+03,4.378000000000000000e+03,1.607600000000000000e+04
2.186000000000000000e+03,4.204000000000000000e+03,1.611000000000000000e+04
2.284000000000000000e+03,4.057000000000000000e+03,1.615900000000000000e+04
2.438000000000000000e+03,3.907000000000000000e+03,1.615500000000000000e+04
2.499000000000000000e+03,3.803000000000000000e+03,1.619800000000000000e+04
2.644000000000000000e+03,3.687000000000000000e+03,1.616900000000000000e+04
2.726000000000000000e+03,3.660000000000000000e+03,1.611400000000000000e+04
2.795000000000000000e+03,3.637000000000000000e+03,1.606800000000000000e+04
2.916000000000000000e+03,3.673000000000000000e+03,1.591100000000000000e+04
2.947000000000000000e+03,3.690000000000000000e+03,1.586300000000000000e+04
3.064000000000000000e+03,3.663000000000000000e+03,1.577300000000000000e+04
3.050000000000000000e+03,3.726000000000000000e+03,1.572400000000000000e+04
3.060000000000000000e+03,3.738000000000000000e+03,1.570200000000000000e+04
3.130000000000000000e+03,3.765000000000000000e+03,1.560500000000000000e+04
3.098000000000000000e+03,3.826000000000000000e+03,1.557600000000000000e+04
3.052000000000000000e+03,3.896000000000000000e+03,1.555200000000000000e+04
3.022000000000000000e+03,3.871000000000000000e+03,1.560700000000000000e+04
3.041000000000000000e+03,3.879000000000000000e+03,1.558000000000000000e+04
3.056000000000000000e+03,3.904000000000000000e+03,1.554000000000000000e+04
3.051000000000000000e+03,3.916000000000000000e+03,1.553300000000000000e+04
3.109000000000000000e+03,3.847000000000000000e+03,1.554400000000000000e+04
3.144000000000000000e+03,3.876000000000000000e+03,1.548000000000000000e+04
3.111000000000000000e+03,3.967000000000000000e+03,1.542200000000000000e+04
3.137000000000000000e+03,3.913000000000000000e+03,1.545000000000000000e+04
3.097000000000000000e+03,3.950000000000000000e+03,1.545300000000000000e+04
3.084000000000000000e+03,3.992000000000000000e+03,1.542400000000000000e+04
3.025000000000000000e+03,4.007000000000000000e+03,1.546800000000000000e+04
2.986000000000000000e+03,4.000000000000000000e+03,1.551400000000000000e+04
2.940000000000000000e+03,4.028000000000000000e+03,1.553200000000000000e+04
2.870000000000000000e+03,4.074000000000000000e+03,1.555600000000000000e+04
2.799000000000000000e+03,4.103000000000000000e+03,1.559800000000000000e+04
2.818000000000000000e+03,4.050000000000000000e+03,1.563200000000000000e+04
2.862000000000000000e+03,3.954000000000000000e+03,1.568400000000000000e+04
2.839000000000000000e+03,3.982000000000000000e+03,1.567900000000000000e+04
2.883000000000000000e+03,3.995000000000000000e+03,1.562200000000000000e+04
2.842000000000000000e+03,3.969000000000000000e+03,1.568900000000000000e+04
2.860000000000000000e+03,3.971000000000000000e+03,1.566900000000000000e+04
2.870000000000000000e+03,3.925000000000000000e+03,1.570500000000000000e+04
2.890000000000000000e+03,3.934000000000000000e+03,1.567600000000000000e+04
2.954000000000000000e+03,3.920000000000000000e+03,1.562600000000000000e+04
2.948000000000000000e+03,3.928000000000000000e+03,1.562400000000000000e+04
2.958000000000000000e+03,3.931000000000000000e+03,1.561100000000000000e+04
