S,I,R
2.227900000000000000e+04,2.210000000000000000e+02,0.000000000000000000e+00
2.159400000000000000e+04,8.600000000000000000e+02,4.600000000000000000e+01
2.046200000000000000e+04,1.838000000000000000e+03,2.000000000000000000e+02
1.890900000000000000e+04,3.049000000000000000e+03,5.420000000000000000e+02
1.695400000000000000e+04,4.522000000000000000e+03,1.024000000000000000e+03
1.485500000000000000e+04,5.931000000000000000e+03,1.714000000000000000e+03
1.273600000000000000e+04,7.194000000000000000e+03,2.570000000000000000e+03
1.085600000000000000e+04,8.232000000000000000e+03,3.412000000000000000e+03
9.205000000000000000e+03,8.950000000000000000e+03,4.345000000000000000e+03
7.774000000000000000e+03,9.478000000000000000e+03,5.248000000000000000e+03
6.599000000000000000e+03,9.823000000000000000e+03,6.078000000000000000e+03
5.850000000000000000e+03,9.891000000000000000e+03,6.759000000000000000e+03
5.253000000000000000e+03,9.917000000000000000e+03,7.330000000000000000e+03
4.820000000000000000e+03,9.766000000000000000e+03,7.914000000000000000e+03
4.529000000000000000e+03,9.570000000000000000e+03,8.401000000000000000e+03
4.473000000000000000e+03,9.302000000000000000e+03,8.725000000000000000e+03
4.482000000000000000e+03,9.163000000000000000e+03,8.855000000000000000e+03
4.546000000000000000e+03,8.996000000000000000e+03,8.958000000000000000e+03
4.649000000000000000e+03,8.915000000000000000e+03,8.936000000000000000e+03
4.560000000000000000e+03,8.969000000000000000e+03,8.971000000000000000e+03
4.630000000000000000e+03,8.974000000000000000e+03,8.896000000000000000e+03
4.571000000000000000e+03,9.020000000000000000e+03,8.909000000000000000e+03
4.598000000000000000e+03,8.950000000000000000e+03,8.952000000000000000e+03
4.589000000000000000e+03,8.958000000000000000e+03,8.953000000000000000e+03
4.638000000000000000e+03,8.853000000000000000e+03,9.009000000000000000e+03
4.708000000000000000e+03,8.822000000000000000e+03,8.970000000000000000e+03
4.699000000000000000e+03,8.942000000000000000e+03,8.859000000000000000e+03
4.649000000000000000e+03,8.928000000000000000e+03,8.923000000000000000e+03
4.710000000000000000e+03,8.909000000000000000e+03,8.881000000000000000e+03
4.637000000000000000e+03,9.076000000000000000e+03,8.787000000000000000e+03
4.544000000000000000e+03,9.118000000000000000e+03,8.838000000000000000e+03
4.557000000000000000e+03,9.027000000000000000e+03,8.916000000000000000e+03
4.563000000000000000e+03,8.880000000000000000e+03,9.057000000000000000e+03
4.581000000000000000e+03,8.982000000000000000e+03,8.937000000000000000e+03
4.639000000000000000e+03,8.979000000000000000e+03,8.882000000000000000e+03
4.549000000000000000e+03,9.090000000000000000e+03,8.861000000000000000e+03
4.483000000000000000e+03,9.125000000000000000e+03,8.892000000000000000e+03
4.491000000000000000e+03,9.164000000000000000e+03,8.845000000000000000e+03
4.559000000000000000e+03,9.013000000000000000e+03,8.928000000000000000e+03
4.598000000000000000e+03,9.009000000000000000e+03,8.893000000000000000e+03
4.590000000000000000e+03,8.973000000000000000e+03,8.937000000000000000e+03
4.603000000000000000e+03,9.017000000000000000e+03,8.880000000000000000e+03
4.625000000000000000e+03,9.029000000000000000e+03,8.846000000000000000e+03
4.598000000000000000e+03,9.028000000000000000e+03,8.874000000000000000e+03
4.524000000000000000e+03,9.024000000000000000e+03,8.952000000000000000e+03
4.561000000000000000e+03,8.852000000000000000e+03,9.087000000000000000e+03
4.606000000000000000e+03,8.770000000000000000e+03,9.124000000000000000e+03
4.651000000000000000e+03,8.857000000000000000e+03,8.992000000000000000e+03
4.746000000000000000e+03,8.854000000000000000e+03,8.900000000000000000e+03
4.692000000000000000e+03,8.864000000000000000e+03,8.944000000000000000e+03
4.676000000000000000e+03,8.867000000000000000e+03,8.957000000000000000e+03
4.709000000000000000e+03,8.834000000000000000e+03,8.957000000000000000e+03
4.692000000000000000e+03,8.863000000000000000e+03,8.945000000000000000e+03
4.744000000000000000e+03,8.900000000000000000e+03,8.856000000000000000e+03
4.702000000000000000e+03,8.882000000000000000e+03,8.916000000000000000e+03
4.723000000000000000e+03,8.867000000000000000e+03,8.910000000000000000e+03
4.692000000000000000e+03,9.007000000000000000e+03,8.801000000000000000e+03
4.610000000000000000e+03,9.028000000000000000e+03,8.862000000000000000e+03
4.578000000000000000e+03,8.988000000000000000e+03,8.934000000000000000e+03
4.566000000000000000e+03,8.955000000000000000e+03,8.979000000000000000e+03
4.556000000000000000e+03,8.993000000000000000e+03,8.951000000000000000e+03
4.581000000000000000e+03,9.010000000000000000e+03,8.909000000000000000e+03
4.598000000000000000e+03,9.007000000000000000e+03,8.895000000000000000e+03
4.658000000000000000e+03,8.981000000000000000e+03,8.861000000000000000e+03
4.635000000000000000e+03,9.016000000000000000e+03,8.849000000000000000e+03
4.669000000000000000e+03,8.994000000000000000e+03,8.837000000000000000e+03
4.565000000000000000e+03,9.083000000000000000e+03,8.852000000000000000e+03
4.509000000000000000e+03,9.094000000000000000e+03,8.897000000000000000e+03
4.589000000000000000e+03,8.998000000000000000e+03,8.913000000000000000e+03
4.566000000000000000e+03,8.981000000000000000e+03,8.953000000000000000e+03
4.541000000000000000e+03,8.975000000000000000e+03,8.984000000000000000e+03
4.628000000000000000e+03,8.942000000000000000e+03,8.930000000000000000e+03
4.604000000000000000e+03,8.989000000000000000e+03,8.907000000000000000e+03
4.565000000000000000e+03,8.939000000000000000e+03,8.996000000000000000e+03
4.662000000000000000e+03,8.755000000000000000e+03,9.083000000000000000e+03
4.726000000000000000e+03,8.764000000000000000e+03,9.010000000000000000e+03
4.593000000000000000e+03,8.892000000000000000e+03,9.015000000000000000e+03
4.591000000000000000e+03,8.903000000000000000e+03,9.006000000000000000e+03
4.531000000000000000e+03,8.948000000000000000e+03,9.021000000000000000e+03
4.570000000000000000e+03,8.849000000000000000e+03,9.081000000000000000e+03
4.670000000000000000e+03,8.857000000000000000e+03,8.973000000000000000e+03
4.644000000000000000e+03,8.890000000000000000e+03,8.966000000000000000e+03
4.647000000000000000e+03,8.957000000000000000e+03,8.896000000000000000e+03
