S,I,R
2.228000000000000000e+04,2.200000000000000000e+02,0.000000000000000000e+00
2.166400000000000000e+04,7.890000000000000000e+02,4.700000000000000000e+01
2.055700000000000000e+04,1.756000000000000000e+03,1.870000000000000000e+02
1.900900000000000000e+04,2.982000000000000000e+03,5.090000000000000000e+02
1.706000000000000000e+04,4.432000000000000000e+03,1.008000000000000000e+03
1.489200000000000000e+04,5.912000000000000000e+03,1.696000000000000000e+03
1.275000000000000000e+04,7.243000000000000000e+03,2.507000000000000000e+03
1.073100000000000000e+04,8.305000000000000000e+03,3.464000000000000000e+03
9.013000000000000000e+03,9.047000000000000000e+03,4.440000000000000000e+03
7.491000000000000000e+03,9.611000000000000000e+03,5.398000000000000000e+03
6.401000000000000000e+03,9.858000000000000000e+03,6.241000000000000000e+03
5.638000000000000000e+03,9.921000000000000000e+03,6.941000000000000000e+03
5.131000000000000000e+03,9.880000000000000000e+03,7.489000000000000000e+03
4.737000000000000000e+03,9.778000000000000000e+03,7.985000000000000000e+03
4.603000000000000000e+03,9.551000000000000000e+03,8.346000000000000000e+03
4.610000000000000000e+03,9.341000000000000000e+03,8.549000000000000000e+03
4.544000000000000000e+03,9.252000000000000000e+03,8.704000000000000000e+03
4.504000000000000000e+03,9.088000000000000000e+03,8.908000000000000000e+03
4.551000000000000000e+03,8.974000000000000000e+03,8.975000000000000000e+03
4.547000000000000000e+03,9.027000000000000000e+03,8.926000000000000000e+03
4.579000000000000000e+03,8.931000000000000000e+03,8.990000000000000000e+03
4.622000000000000000e+03,8.964000000000000000e+03,8.914000000000000000e+03
4.555000000000000000e+03,8.979000000000000000e+03,8.966000000000000000e+03
4.539000000000000000e+03,9.079000000000000000e+03,8.882000000000000000e+03
4.483000000000000000e+03,8.984000000000000000e+03,9.033000000000000000e+03
4.591000000000000000e+03,8.927000000000000000e+03,8.982000000000000000e+03
4.602000000000000000e+03,8.950000000000000000e+03,8.948000000000000000e+03
4.640000000000000000e+03,8.984000000000000000e+03,8.876000000000000000e+03
4.622000000000000000e+03,9.056000000000000000e+03,8.822000000000000000e+03
4.559000000000000000e+03,9.131000000000000000e+03,8.810000000000000000e+03
4.466000000000000000e+03,9.079000000000000000e+03,8.955000000000000000e+03
4.459000000000000000e+03,8.963000000000000000e+03,9.078000000000000000e+03
4.558000000000000000e+03,8.879000000000000000e+03,9.063000000000000000e+03
4.684000000000000000e+03,8.831000000000000000e+03,8.985000000000000000e+03
4.644000000000000000e+03,8.879000000000000000e+03,8.977000000000000000e+03
4.647000000000000000e+03,8.952000000000000000e+03,8.901000000000000000e+03
4.650000000000000000e+03,9.006000000000000000e+03,8.844000000000000000e+03
4.618000000000000000e+03,8.995000000000000000e+03,8.887000000000000000e+03
4.521000000000000000e+03,9.062000000000000000e+03,8.917000000000000000e+03
4.535000000000000000e+03,9.002000000000000000e+03,8.963000000000000000e+03
4.519000000000000000e+03,8.991000000000000000e+03,8.990000000000000000e+03
4.576000000000000000e+03,9.016000000000000000e+03,8.908000000000000000e+03
4.637000000000000000e+03,8.949000000000000000e+03,8.914000000000000000e+03
4.571000000000000000e+03,9.021000000000000000e+03,8.908000000000000000e+03
4.563000000000000000e+03,9.057000000000000000e+03,8.880000000000000000e+03
4.598000000000000000e+03,9.002000000000000000e+03,8.900000000000000000e+03
4.578000000000000000e+03,9.050000000000000000e+03,8.872000000000000000e+03
4.484000000000000000e+03,9.139000000000000000e+03,8.877000000000000000e+03
4.500000000000000000e+03,9.011000000000000000e+03,8.989000000000000000e+03
4.592000000000000000e+03,8.942000000000000000e+03,8.966000000000000000e+03
4.567000000000000000e+03,8.834000000000000000e+03,9.099000000000000000e+03
4.673000000000000000e+03,8.806000000000000000e+03,9.021000000000000000e+03
4.758000000000000000e+03,8.888000000000000000e+03,8.854000000000000000e+03
4.684000000000000000e+03,8.960000000000000000e+03,8.856000000000000000e+03
4.683000000000000000e+03,8.941000000000000000e+03,8.876000000000000000e+03
4.536000000000000000e+03,9.044000000000000000e+03,8.920000000000000000e+03
4.564000000000000000e+03,8.957000000000000000e+03,8.979000000000000000e+03
4.685000000000000000e+03,8.920000000000000000e+03,8.895000000000000000e+03
4.593000000000000000e+03,9.026000000000000000e+03,8.881000000000000000e+03
4.636000000000000000e+03,8.953000000000000000e+03,8.911000000000000000e+03
4.607000000000000000e+03,8.950000000000000000e+03,8.943000000000000000e+03
4.718000000000000000e+03,8.950000000000000000e+03,8.832000000000000000e+03
4.580000000000000000e+03,9.021000000000000000e+03,8.899000000000000000e+03
4.564000000000000000e+03,9.003000000000000000e+03,8.933000000000000000e+03
4.585000000000000000e+03,8.969000000000000000e+03,8.946000000000000000e+03
4.582000000000000000e+03,9.011000000000000000e+03,8.907000000000000000e+03
4.521000000000000000e+03,9.064000000000000000e+03,8.915000000000000000e+03
4.471000000000000000e+03,9.096000000000000000e+03,8.933000000000000000e+03
4.458000000000000000e+03,9.062000000000000000e+03,8.980000000000000000e+03
4.487000000000000000e+03,9.037000000000000000e+03,8.976000000000000000e+03
4.545000000000000000e+03,8.934000000000000000e+03,9.021000000000000000e+03
4.624000000000000000e+03,8.952000000000000000e+03,8.924000000000000000e+03
4.599000000000000000e+03,8.983000000000000000e+03,8.918000000000000000e+03
4.559000000000000000e+03,9.017000000000000000e+03,8.924000000000000000e+03
4.556000000000000000e+03,8.975000000000000000e+03,8.969000000000000000e+03
4.642000000000000000e+03,8.865000000000000000e+03,8.993000000000000000e+03
4.684000000000000000e+03,8.819000000000000000e+03,8.997000000000000000e+03
4.651000000000000000e+03,8.789000000000000000e+03,9.060000000000000000e+03
4.746000000000000000e+03,8.747000000000000000e+03,9.007000000000000000e+03
4.770000000000000000e+03,8.794000000000000000e+03,8.936000000000000000e+03
4.716000000000000000e+03,8.995000000000000000e+03,8.789000000000000000e+03
4.638000000000000000e+03,9.071000000000000000e+03,8.791000000000000000e+03
4.587000000000000000e+03,9.031000000000000000e+03,8.882000000000000000e+03
4.551000000000000000e+03,9.070000000000000000e+03,8.879000000000000000e+03
4.552000000000000000e+03,9.092000000000000000e+03,8.856000000000000000e+03
4.659000000000000000e+03,9.012000000000000000e+03,8.829000000000000000e+03
4.599000000000000000e+03,9.036000000000000000e+03,8.865000000000000000e+03
4.563000000000000000e+03,9.048000000000000000e+03,8.889000000000000000e+03
4.550000000000000000e+03,9.055000000000000000e+03,8.895000000000000000e+03
4.483000000000000000e+03,9.072000000000000000e+03,8.945000000000000000e+03
4.414000000000000000e+03,9.031000000000000000e+03,9.055000000000000000e+03
4.465000000000000000e+03,8.984000000000000000e+03,9.051000000000000000e+03
4.542000000000000000e+03,8.938000000000000000e+03,9.020000000000000000e+03
4.602000000000000000e+03,8.893000000000000000e+03,9.005000000000000000e+03
4.595000000000000000e+03,8.945000000000000000e+03,8.960000000000000000e+03
4.557000000000000000e+03,8.977000000000000000e+03,8.966000000000000000e+03
4.577000000000000000e+03,8.960000000000000000e+03,8.963000000000000000e+03
4.629000000000000000e+03,8.931000000000000000e+03,8.940000000000000000e+03
4.591000000000000000e+03,9.018000000000000000e+03,8.891000000000000000e+03
4.584000000000000000e+03,8.972000000000000000e+03,8.944000000000000000e+03
4.568000000000000000e+03,8.895000000000000000e+03,9.037000000000000000e+03
4.558000000000000000e+03,8.973000000000000000e+03,8.969000000000000000e+03
