S,I,R
2.224700000000000000e+04,2.530000000000000000e+02,0.000000000000000000e+00
2.112200000000000000e+04,1.290000000000000000e+03,8.800000000000000000e+01
1.903700000000000000e+04,2.968000000000000000e+03,4.950000000000000000e+02
1.631100000000000000e+04,4.884000000000000000e+03,1.305000000000000000e+03
1.328000000000000000e+04,6.581000000000000000e+03,2.639000000000000000e+03
1.030500000000000000e+04,7.879000000000000000e+03,4.316000000000000000e+03
7.643000000000000000e+03,8.590000000000000000e+03,6.267000000000000000e+03
5.537000000000000000e+03,8.827000000000000000e+03,8.136000000000000000e+03
4.026000000000000000e+03,8.486000000000000000e+03,9.988000000000000000e+03
3.112000000000000000e+03,7.783000000000000000e+03,1.160500000000000000e+04
2.717000000000000000e+03,7.009000000000000000e+03,1.277400000000000000e+04
2.628000000000000000e+03,6.266000000000000000e+03,1.360600000000000000e+04
2.710000000000000000e+03,5.702000000000000000e+03,1.408800000000000000e+04
2.769000000000000000e+03,5.338000000000000000e+03,1.439300000000000000e+04
2.957000000000000000e+03,5.020000000000000000e+03,1.452300000000000000e+04
3.098000000000000000e+03,4.889000000000000000e+03,1.451300000000000000e+04
3.236000000000000000e+03,4.844000000000000000e+03,1.442000000000000000e+04
3.281000000000000000e+03,4.818000000000000000e+03,1.440100000000000000e+04
3.218000000000000000e+03,4.878000000000000000e+03,1.440400000000000000e+04
3.282000000000000000e+03,4.865000000000000000e+03,1.435300000000000000e+04
3.300000000000000000e+03,4.832000000000000000e+03,1.436800000000000000e+04
3.319000000000000000e+03,4.810000000000000000e+03,1.437100000000000000e+04
3.261000000000000000e+03,4.830000000000000000e+03,1.440900000000000000e+04
3.400000000000000000e+03,4.741000000000000000e+03,1.435900000000000000e+04
3.366000000000000000e+03,4.835000000000000000e+03,1.429900000000000000e+04
3.327000000000000000e+03,4.770000000000000000e+03,1.440300000000000000e+04
3.408000000000000000e+03,4.724000000000000000e+03,1.436800000000000000e+04
3.445000000000000000e+03,4.758000000000000000e+03,1.429700000000000000e+04
3.384000000000000000e+03,4.739000000000000000e+03,1.437700000000000000e+04
3.393000000000000000e+03,4.798000000000000000e+03,1.430900000000000000e+04
3.338000000000000000e+03,4.888000000000000000e+03,1.427400000000000000e+04
3.332000000000000000e+03,4.761000000000000000e+03,1.440700000000000000e+04
3.330000000000000000e+03,4.755000000000000000e+03,1.441500000000000000e+04
3.303000000000000000e+03,4.815000000000000000e+03,1.438200000000000000e+04
3.373000000000000000e+03,4.707000000000000000e+03,1.442000000000000000e+04
3.375000000000000000e+03,4.719000000000000000e+03,1.440600000000000000e+04
3.385000000000000000e+03,4.753000000000000000e+03,1.436200000000000000e+04
3.317000000000000000e+03,4.743000000000000000e+03,1.444000000000000000e+04
3.298000000000000000e+03,4.717000000000000000e+03,1.448500000000000000e+04
3.333000000000000000e+03,4.731000000000000000e+03,1.443600000000000000e+04
3.263000000000000000e+03,4.783000000000000000e+03,1.445400000000000000e+04
3.400000000000000000e+03,4.683000000000000000e+03,1.441700000000000000e+04
3.502000000000000000e+03,4.712000000000000000e+03,1.428600000000000000e+04
3.375000000000000000e+03,4.751000000000000000e+03,1.437400000000000000e+04
3.283000000000000000e+03,4.804000000000000000e+03,1.441300000000000000e+04
3.333000000000000000e+03,4.769000000000000000e+03,1.439800000000000000e+04
3.357000000000000000e+03,4.755000000000000000e+03,1.438800000000000000e+04
3.338000000000000000e+03,4.734000000000000000e+03,1.442800000000000000e+04
3.283000000000000000e+03,4.846000000000000000e+03,1.437100000000000000e+04
3.266000000000000000e+03,4.772000000000000000e+03,1.446200000000000000e+04
3.265000000000000000e+03,4.756000000000000000e+03,1.447900000000000000e+04
3.312000000000000000e+03,4.721000000000000000e+03,1.446700000000000000e+04
3.345000000000000000e+03,4.695000000000000000e+03,1.446000000000000000e+04
3.363000000000000000e+03,4.692000000000000000e+03,1.444500000000000000e+04
3.372000000000000000e+03,4.730000000000000000e+03,1.439800000000000000e+04
3.369000000000000000e+03,4.737000000000000000e+03,1.439400000000000000e+04
3.350000000000000000e+03,4.733000000000000000e+03,1.441700000000000000e+04
3.439000000000000000e+03,4.672000000000000000e+03,1.438900000000000000e+04
3.469000000000000000e+03,4.693000000000000000e+03,1.433800000000000000e+04
3.428000000000000000e+03,4.724000000000000000e+03,1.434800000000000000e+04
3.401000000000000000e+03,4.767000000000000000e+03,1.433200000000000000e+04
3.387000000000000000e+03,4.759000000000000000e+03,1.435400000000000000e+04
3.356000000000000000e+03,4.820000000000000000e+03,1.432400000000000000e+04
3.322000000000000000e+03,4.757000000000000000e+03,1.442100000000000000e+04
3.387000000000000000e+03,4.705000000000000000e+03,1.440800000000000000e+04
3.384000000000000000e+03,4.709000000000000000e+03,1.440700000000000000e+04
3.370000000000000000e+03,4.779000000000000000e+03,1.435100000000000000e+04
3.345000000000000000e+03,4.835000000000000000e+03,1.432000000000000000e+04
3.391000000000000000e+03,4.887000000000000000e+03,1.422200000000000000e+04
3.321000000000000000e+03,4.823000000000000000e+03,1.435600000000000000e+04
3.361000000000000000e+03,4.785000000000000000e+03,1.435400000000000000e+04
3.242000000000000000e+03,4.862000000000000000e+03,1.439600000000000000e+04
3.324000000000000000e+03,4.855000000000000000e+03,1.432100000000000000e+04
3.327000000000000000e+03,4.851000000000000000e+03,1.432200000000000000e+04
3.288000000000000000e+03,4.859000000000000000e+03,1.435300000000000000e+04
3.311000000000000000e+03,4.857000000000000000e+03,1.433200000000000000e+04
3.316000000000000000e+03,4.802000000000000000e+03,1.438200000000000000e+04
3.277000000000000000e+03,4.753000000000000000e+03,1.447000000000000000e+04
3.358000000000000000e+03,4.706000000000000000e+03,1.443600000000000000e+04
3.317000000000000000e+03,4.716000000000000000e+03,1.446700000000000000e+04
3.398000000000000000e+03,4.580000000000000000e+03,1.452200000000000000e+04
3.403000000000000000e+03,4.615000000000000000e+03,1.448200000000000000e+04
3.435000000000000000e+03,4.649000000000000000e+03,1.441600000000000000e+04
3.432000000000000000e+03,4.660000000000000000e+03,1.440800000000000000e+04
3.486000000000000000e+03,4.671000000000000000e+03,1.434300000000000000e+04
3.443000000000000000e+03,4.743000000000000000e+03,1.431400000000000000e+04
3.423000000000000000e+03,4.825000000000000000e+03,1.425200000000000000e+04
3.471000000000000000e+03,4.824000000000000000e+03,1.420500000000000000e+04
3.430000000000000000e+03,4.874000000000000000e+03,1.419600000000000000e+04
3.361000000000000000e+03,4.858000000000000000e+03,1.428100000000000000e+04
3.216000000000000000e+03,4.960000000000000000e+03,1.432400000000000000e+04
3.261000000000000000e+03,4.869000000000000000e+03,1.437000000000000000e+04
3.343000000000000000e+03,4.768000000000000000e+03,1.438900000000000000e+04
3.298000000000000000e+03,4.807000000000000000e+03,1.439500000000000000e+04
3.266000000000000000e+03,4.745000000000000000e+03,1.448900000000000000e+04
3.371000000000000000e+03,4.681000000000000000e+03,1.444800000000000000e+04
3.401000000000000000e+03,4.697000000000000000e+03,1.440200000000000000e+04
3.420000000000000000e+03,4.713000000000000000e+03,1.436700000000000000e+04
3.384000000000000000e+03,4.779000000000000000e+03,1.433700000000000000e+04
3.454000000000000000e+03,4.721000000000000000e+03,1.432500000000000000e+04
3.408000000000000000e+03,4.773000000000000000e+03,1.431900000000000000e+04
3.389000000000000000e+03,4.833000000000000000e+03,1.427800000000000000e+04
3.516000000000000000e+03,4.824000000000000000e+03,1.416000000000000000e+04
3.459000000000000000e+03,4.919000000000000000e+03,1.412200000000000000e+04
3.432000000000000000e+03,4.895000000000000000e+03,1.417300000000000000e+04
3.352000000000000000e+03,4.927000000000000000e+03,1.422100000000000000e+04
3.298000000000000000e+03,4.959000000000000000e+03,1.424300000000000000e+04
3.257000000000000000e+03,4.942000000000000000e+03,1.430100000000000000e+04
3.257000000000000000e+03,4.911000000000000000e+03,1.433200000000000000e+04
3.229000000000000000e+03,4.914000000000000000e+03,1.435700000000000000e+04
3.170000000000000000e+03,4.861000000000000000e+03,1.446900000000000000e+04
3.147000000000000000e+03,4.804000000000000000e+03,1.454900000000000000e+04
3.256000000000000000e+03,4.709000000000000000e+03,1.453500000000000000e+04
3.342000000000000000e+03,4.708000000000000000e+03,1.445000000000000000e+04
3.459000000000000000e+03,4.642000000000000000e+03,1.439900000000000000e+04
3.525000000000000000e+03,4.695000000000000000e+03,1.428000000000000000e+04
3.470000000000000000e+03,4.713000000000000000e+03,1.431700000000000000e+04
3.441000000000000000e+03,4.757000000000000000e+03,1.430200000000000000e+04
3.366000000000000000e+03,4.846000000000000000e+03,1.428800000000000000e+04
3.369000000000000000e+03,4.914000000000000000e+03,1.421700000000000000e+04
3.325000000000000000e+03,4.896000000000000000e+03,1.427900000000000000e+04
3.327000000000000000e+03,4.827000000000000000e+03,1.434600000000000000e+04
3.285000000000000000e+03,4.815000000000000000e+03,1.440000000000000000e+04
3.295000000000000000e+03,4.816000000000000000e+03,1.438900000000000000e+04
3.261000000000000000e+03,4.824000000000000000e+03,1.441500000000000000e+04
3.423000000000000000e+03,4.819000000000000000e+03,1.425800000000000000e+04
3.339000000000000000e+03,4.826000000000000000e+03,1.433500000000000000e+04
3.454000000000000000e+03,4.773000000000000000e+03,1.427300000000000000e+04
3.473000000000000000e+03,4.728000000000000000e+03,1.429900000000000000e+04
3.470000000000000000e+03,4.797000000000000000e+03,1.423300000000000000e+04
3.357000000000000000e+03,4.892000000000000000e+03,1.425100000000000000e+04
3.297000000000000000e+03,4.904000000000000000e+03,1.429900000000000000e+04
3.271000000000000000e+03,4.889000000000000000e+03,1.434000000000000000e+04
3.320000000000000000e+03,4.944000000000000000e+03,1.423600000000000000e+04
3.342000000000000000e+03,4.984000000000000000e+03,1.417400000000000000e+04
3.305000000000000000e+03,4.919000000000000000e+03,1.427600000000000000e+04
3.301000000000000000e+03,4.917000000000000000e+03,1.428200000000000000e+04
3.286000000000000000e+03,4.885000000000000000e+03,1.432900000000000000e+04
3.251000000000000000e+03,4.862000000000000000e+03,1.438700000000000000e+04
3.242000000000000000e+03,4.837000000000000000e+03,1.442100000000000000e+04
3.318000000000000000e+03,4.748000000000000000e+03,1.443400000000000000e+04
3.307000000000000000e+03,4.790000000000000000e+03,1.440300000000000000e+04
3.163000000000000000e+03,4.860000000000000000e+03,1.447700000000000000e+04
3.172000000000000000e+03,4.817000000000000000e+03,1.451100000000000000e+04
3.238000000000000000e+03,4.809000000000000000e+03,1.445300000000000000e+04
3.255000000000000000e+03,4.778000000000000000e+03,1.446700000000000000e+04
3.238000000000000000e+03,4.748000000000000000e+03,1.451400000000000000e+04
