S,I,R
2.229600000000000000e+04,2.040000000000000000e+02,0.000000000000000000e+00
2.171100000000000000e+04,6.920000000000000000e+02,9.700000000000000000e+01
2.079500000000000000e+04,1.353000000000000000e+03,3.520000000000000000e+02
1.946700000000000000e+04,2.192000000000000000e+03,8.410000000000000000e+02
1.775300000000000000e+04,3.116000000000000000e+03,1.631000000000000000e+03
1.578300000000000000e+04,4.038000000000000000e+03,2.679000000000000000e+03
1.375400000000000000e+04,4.718000000000000000e+03,4.028000000000000000e+03
1.185300000000000000e+04,5.069000000000000000e+03,5.578000000000000000e+03
1.012100000000000000e+04,5.325000000000000000e+03,7.054000000000000000e+03
8.675000000000000000e+03,5.348000000000000000e+03,8.477000000000000000e+03
7.415000000000000000e+03,5.201000000000000000e+03,9.884000000000000000e+03
6.459000000000000000e+03,5.036000000000000000e+03,1.100500000000000000e+04
5.762000000000000000e+03,4.819000000000000000e+03,1.191900000000000000e+04
5.391000000000000000e+03,4.490000000000000000e+03,1.261900000000000000e+04
5.203000000000000000e+03,4.179000000000000000e+03,1.311800000000000000e+04
5.101000000000000000e+03,3.868000000000000000e+03,1.353100000000000000e+04
5.220000000000000000e+03,3.548000000000000000e+03,1.373200000000000000e+04
5.428000000000000000e+03,3.351000000000000000e+03,1.372100000000000000e+04
5.658000000000000000e+03,3.193000000000000000e+03,1.364900000000000000e+04
5.811000000000000000e+03,3.160000000000000000e+03,1.352900000000000000e+04
5.961000000000000000e+03,3.109000000000000000e+03,1.343000000000000000e+04
6.139000000000000000e+03,3.012000000000000000e+03,1.334900000000000000e+04
6.209000000000000000e+03,3.055000000000000000e+03,1.323600000000000000e+04
6.383000000000000000e+03,3.011000000000000000e+03,1.310600000000000000e+04
6.375000000000000000e+03,3.082000000000000000e+03,1.304300000000000000e+04
6.365000000000000000e+03,3.087000000000000000e+03,1.304800000000000000e+04
6.370000000000000000e+03,3.166000000000000000e+03,1.296400000000000000e+04
6.347000000000000000e+03,3.149000000000000000e+03,1.300400000000000000e+04
6.301000000000000000e+03,3.199000000000000000e+03,1.300000000000000000e+04
6.307000000000000000e+03,3.211000000000000000e+03,1.298200000000000000e+04
6.250000000000000000e+03,3.288000000000000000e+03,1.296200000000000000e+04
6.153000000000000000e+03,3.367000000000000000e+03,1.298000000000000000e+04
6.080000000000000000e+03,3.375000000000000000e+03,1.304500000000000000e+04
5.993000000000000000e+03,3.393000000000000000e+03,1.311400000000000000e+04
5.960000000000000000e+03,3.384000000000000000e+03,1.315600000000000000e+04
5.887000000000000000e+03,3.337000000000000000e+03,1.327600000000000000e+04
5.946000000000000000e+03,3.254000000000000000e+03,1.330000000000000000e+04
5.926000000000000000e+03,3.309000000000000000e+03,1.326500000000000000e+04
5.918000000000000000e+03,3.327000000000000000e+03,1.325500000000000000e+04
5.982000000000000000e+03,3.263000000000000000e+03,1.325500000000000000e+04
6.012000000000000000e+03,3.293000000000000000e+03,1.319500000000000000e+04
6.098000000000000000e+03,3.249000000000000000e+03,1.315300000000000000e+04
6.125000000000000000e+03,3.257000000000000000e+03,1.311800000000000000e+04
6.057000000000000000e+03,3.340000000000000000e+03,1.310300000000000000e+04
6.014000000000000000e+03,3.309000000000000000e+03,1.317700000000000000e+04
6.088000000000000000e+03,3.350000000000000000e+03,1.306200000000000000e+04
6.085000000000000000e+03,3.320000000000000000e+03,1.309500000000000000e+04
5.999000000000000000e+03,3.361000000000000000e+03,1.314000000000000000e+04
5.983000000000000000e+03,3.255000000000000000e+03,1.326200000000000000e+04
6.010000000000000000e+03,3.194000000000000000e+03,1.329600000000000000e+04
6.057000000000000000e+03,3.204000000000000000e+03,1.323900000000000000e+04
6.121000000000000000e+03,3.149000000000000000e+03,1.323000000000000000e+04
6.246000000000000000e+03,3.148000000000000000e+03,1.310600000000000000e+04
6.344000000000000000e+03,3.174000000000000000e+03,1.298200000000000000e+04
6.263000000000000000e+03,3.300000000000000000e+03,1.293700000000000000e+04
6.211000000000000000e+03,3.317000000000000000e+03,1.297200000000000000e+04
6.194000000000000000e+03,3.251000000000000000e+03,1.305500000000000000e+04
6.166000000000000000e+03,3.279000000000000000e+03,1.305500000000000000e+04
6.165000000000000000e+03,3.276000000000000000e+03,1.305900000000000000e+04
6.197000000000000000e+03,3.307000000000000000e+03,1.299600000000000000e+04
6.201000000000000000e+03,3.369000000000000000e+03,1.293000000000000000e+04
6.159000000000000000e+03,3.373000000000000000e+03,1.296800000000000000e+04
6.077000000000000000e+03,3.397000000000000000e+03,1.302600000000000000e+04
5.967000000000000000e+03,3.436000000000000000e+03,1.309700000000000000e+04
5.898000000000000000e+03,3.465000000000000000e+03,1.313700000000000000e+04
5.861000000000000000e+03,3.352000000000000000e+03,1.328700000000000000e+04
5.927000000000000000e+03,3.233000000000000000e+03,1.334000000000000000e+04
6.043000000000000000e+03,3.183000000000000000e+03,1.327400000000000000e+04
6.085000000000000000e+03,3.198000000000000000e+03,1.321700000000000000e+04
6.101000000000000000e+03,3.217000000000000000e+03,1.318200000000000000e+04
6.120000000000000000e+03,3.215000000000000000e+03,1.316500000000000000e+04
6.095000000000000000e+03,3.234000000000000000e+03,1.317100000000000000e+04
6.098000000000000000e+03,3.197000000000000000e+03,1.320500000000000000e+04
6.110000000000000000e+03,3.266000000000000000e+03,1.312400000000000000e+04
6.151000000000000000e+03,3.252000000000000000e+03,1.309700000000000000e+04
6.145000000000000000e+03,3.274000000000000000e+03,1.308100000000000000e+04
6.193000000000000000e+03,3.283000000000000000e+03,1.302400000000000000e+04
6.195000000000000000e+03,3.318000000000000000e+03,1.298700000000000000e+04
6.154000000000000000e+03,3.306000000000000000e+03,1.304000000000000000e+04
6.153000000000000000e+03,3.248000000000000000e+03,1.309900000000000000e+04
6.234000000000000000e+03,3.210000000000000000e+03,1.305600000000000000e+04
6.162000000000000000e+03,3.190000000000000000e+03,1.314800000000000000e+04
6.152000000000000000e+03,3.198000000000000000e+03,1.315000000000000000e+04
6.150000000000000000e+03,3.234000000000000000e+03,1.311600000000000000e+04
6.231000000000000000e+03,3.135000000000000000e+03,1.313400000000000000e+04
6.219000000000000000e+03,3.132000000000000000e+03,1.314900000000000000e+04
6.220000000000000000e+03,3.130000000000000000e+03,1.315000000000000000e+04
6.321000000000000000e+03,3.130000000000000000e+03,1.304900000000000000e+04
6.416000000000000000e+03,3.171000000000000000e+03,1.291300000000000000e+04
6.368000000000000000e+03,3.216000000000000000e+03,1.291600000000000000e+04
6.326000000000000000e+03,3.358000000000000000e+03,1.281600000000000000e+04
