S,I,R
2.229900000000000000e+04,2.010000000000000000e+02,0.000000000000000000e+00
2.182800000000000000e+04,6.050000000000000000e+02,6.700000000000000000e+01
2.112200000000000000e+04,1.135000000000000000e+03,2.430000000000000000e+02
2.025700000000000000e+04,1.735000000000000000e+03,5.080000000000000000e+02
1.920300000000000000e+04,2.408000000000000000e+03,8.890000000000000000e+02
1.810700000000000000e+04,3.074000000000000000e+03,1.319000000000000000e+03
1.676000000000000000e+04,3.883000000000000000e+03,1.857000000000000000e+03
1.540600000000000000e+04,4.633000000000000000e+03,2.461000000000000000e+03
1.415000000000000000e+04,5.268000000000000000e+03,3.082000000000000000e+03
1.302800000000000000e+04,5.824000000000000000e+03,3.648000000000000000e+03
1.186800000000000000e+04,6.327000000000000000e+03,4.305000000000000000e+03
1.093800000000000000e+04,6.781000000000000000e+03,4.781000000000000000e+03
1.012100000000000000e+04,6.965000000000000000e+03,5.414000000000000000e+03
9.542000000000000000e+03,7.157000000000000000e+03,5.801000000000000000e+03
9.026000000000000000e+03,7.291000000000000000e+03,6.183000000000000000e+03
8.677000000000000000e+03,7.307000000000000000e+03,6.516000000000000000e+03
8.390000000000000000e+03,7.329000000000000000e+03,6.781000000000000000e+03
8.243000000000000000e+03,7.318000000000000000e+03,6.939000000000000000e+03
8.214000000000000000e+03,7.249000000000000000e+03,7.037000000000000000e+03
8.167000000000000000e+03,7.325000000000000000e+03,7.008000000000000000e+03
7.940000000000000000e+03,7.472000000000000000e+03,7.088000000000000000e+03
7.793000000000000000e+03,7.451000000000000000e+03,7.256000000000000000e+03
7.777000000000000000e+03,7.482000000000000000e+03,7.241000000000000000e+03
7.765000000000000000e+03,7.396000000000000000e+03,7.339000000000000000e+03
7.651000000000000000e+03,7.415000000000000000e+03,7.434000000000000000e+03
7.748000000000000000e+03,7.252000000000000000e+03,7.500000000000000000e+03
7.847000000000000000e+03,7.161000000000000000e+03,7.492000000000000000e+03
7.830000000000000000e+03,7.227000000000000000e+03,7.443000000000000000e+03
7.839000000000000000e+03,7.162000000000000000e+03,7.499000000000000000e+03
7.920000000000000000e+03,7.184000000000000000e+03,7.396000000000000000e+03
7.883000000000000000e+03,7.263000000000000000e+03,7.354000000000000000e+03
7.895000000000000000e+03,7.232000000000000000e+03,7.373000000000000000e+03
7.863000000000000000e+03,7.359000000000000000e+03,7.278000000000000000e+03
7.888000000000000000e+03,7.300000000000000000e+03,7.312000000000000000e+03
7.845000000000000000e+03,7.312000000000000000e+03,7.343000000000000000e+03
7.904000000000000000e+03,7.303000000000000000e+03,7.293000000000000000e+03
7.891000000000000000e+03,7.278000000000000000e+03,7.331000000000000000e+03
7.904000000000000000e+03,7.265000000000000000e+03,7.331000000000000000e+03
7.824000000000000000e+03,7.354000000000000000e+03,7.322000000000000000e+03
7.766000000000000000e+03,7.383000000000000000e+03,7.351000000000000000e+03
7.722000000000000000e+03,7.363000000000000000e+03,7.415000000000000000e+03
7.723000000000000000e+03,7.362000000000000000e+03,7.415000000000000000e+03
7.874000000000000000e+03,7.321000000000000000e+03,7.305000000000000000e+03
7.792000000000000000e+03,7.335000000000000000e+03,7.373000000000000000e+03
7.831000000000000000e+03,7.423000000000000000e+03,7.246000000000000000e+03
7.905000000000000000e+03,7.366000000000000000e+03,7.229000000000000000e+03
7.781000000000000000e+03,7.479000000000000000e+03,7.240000000000000000e+03
7.732000000000000000e+03,7.489000000000000000e+03,7.279000000000000000e+03
7.723000000000000000e+03,7.429000000000000000e+03,7.348000000000000000e+03
7.838000000000000000e+03,7.355000000000000000e+03,7.307000000000000000e+03
7.766000000000000000e+03,7.392000000000000000e+03,7.342000000000000000e+03
7.776000000000000000e+03,7.361000000000000000e+03,7.363000000000000000e+03
7.775000000000000000e+03,7.253000000000000000e+03,7.472000000000000000e+03
7.946000000000000000e+03,7.290000000000000000e+03,7.264000000000000000e+03
7.904000000000000000e+03,7.320000000000000000e+03,7.276000000000000000e+03
7.830000000000000000e+03,7.407000000000000000e+03,7.263000000000000000e+03
7.733000000000000000e+03,7.433000000000000000e+03,7.334000000000000000e+03
7.690000000000000000e+03,7.370000000000000000e+03,7.440000000000000000e+03
7.832000000000000000e+03,7.326000000000000000e+03,7.342000000000000000e+03
7.732000000000000000e+03,7.409000000000000000e+03,7.359000000000000000e+03
7.698000000000000000e+03,7.357000000000000000e+03,7.445000000000000000e+03
7.835000000000000000e+03,7.298000000000000000e+03,7.367000000000000000e+03
7.876000000000000000e+03,7.261000000000000000e+03,7.363000000000000000e+03
7.926000000000000000e+03,7.221000000000000000e+03,7.353000000000000000e+03
7.889000000000000000e+03,7.326000000000000000e+03,7.285000000000000000e+03
7.870000000000000000e+03,7.338000000000000000e+03,7.292000000000000000e+03
7.822000000000000000e+03,7.405000000000000000e+03,7.273000000000000000e+03
7.819000000000000000e+03,7.321000000000000000e+03,7.360000000000000000e+03
7.878000000000000000e+03,7.341000000000000000e+03,7.281000000000000000e+03
7.877000000000000000e+03,7.283000000000000000e+03,7.340000000000000000e+03
7.901000000000000000e+03,7.325000000000000000e+03,7.274000000000000000e+03
7.779000000000000000e+03,7.329000000000000000e+03,7.392000000000000000e+03
7.799000000000000000e+03,7.279000000000000000e+03,7.422000000000000000e+03
7.925000000000000000e+03,7.198000000000000000e+03,7.377000000000000000e+03
7.853000000000000000e+03,7.389000000000000000e+03,7.258000000000000000e+03
7.820000000000000000e+03,7.290000000000000000e+03,7.390000000000000000e+03
7.872000000000000000e+03,7.213000000000000000e+03,7.415000000000000000e+03
7.880000000000000000e+03,7.272000000000000000e+03,7.348000000000000000e+03
7.873000000000000000e+03,7.263000000000000000e+03,7.364000000000000000e+03
7.821000000000000000e+03,7.341000000000000000e+03,7.338000000000000000e+03
7.824000000000000000e+03,7.387000000000000000e+03,7.289000000000000000e+03
7.896000000000000000e+03,7.295000000000000000e+03,7.309000000000000000e+03
7.924000000000000000e+03,7.239000000000000000e+03,7.337000000000000000e+03
7.918000000000000000e+03,7.253000000000000000e+03,7.329000000000000000e+03
7.897000000000000000e+03,7.319000000000000000e+03,7.284000000000000000e+03
7.886000000000000000e+03,7.325000000000000000e+03,7.289000000000000000e+03
7.838000000000000000e+03,7.378000000000000000e+03,7.284000000000000000e+03
7.876000000000000000e+03,7.315000000000000000e+03,7.309000000000000000e+03
7.876000000000000000e+03,7.295000000000000000e+03,7.329000000000000000e+03
8.025000000000000000e+03,7.346000000000000000e+03,7.129000000000000000e+03
7.904000000000000000e+03,7.277000000000000000e+03,7.319000000000000000e+03
7.846000000000000000e+03,7.309000000000000000e+03,7.345000000000000000e+03
7.873000000000000000e+03,7.291000000000000000e+03,7.336000000000000000e+03
7.897000000000000000e+03,7.300000000000000000e+03,7.303000000000000000e+03
7.975000000000000000e+03,7.254000000000000000e+03,7.271000000000000000e+03
8.019000000000000000e+03,7.238000000000000000e+03,7.243000000000000000e+03
7.874000000000000000e+03,7.421000000000000000e+03,7.205000000000000000e+03
7.679000000000000000e+03,7.520000000000000000e+03,7.301000000000000000e+03
7.719000000000000000e+03,7.401000000000000000e+03,7.380000000000000000e+03
7.712000000000000000e+03,7.334000000000000000e+03,7.454000000000000000e+03
7.735000000000000000e+03,7.328000000000000000e+03,7.437000000000000000e+03
7.857000000000000000e+03,7.262000000000000000e+03,7.381000000000000000e+03
7.877000000000000000e+03,7.259000000000000000e+03,7.364000000000000000e+03
7.915000000000000000e+03,7.234000000000000000e+03,7.351000000000000000e+03
7.834000000000000000e+03,7.360000000000000000e+03,7.306000000000000000e+03
7.792000000000000000e+03,7.306000000000000000e+03,7.402000000000000000e+03
7.865000000000000000e+03,7.144000000000000000e+03,7.491000000000000000e+03
7.859000000000000000e+03,7.198000000000000000e+03,7.443000000000000000e+03
